,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type,main_goal_feelBetter,main_goal_loseWeight,main_goal_reducePain,main_goal_stayActive,nutritional_goal_improveNutrition,nutritional_goal_increaseMuscle,nutritional_goal_loseWeight,nutritional_goal_none
0,00VjxBSh5SWZtvDuQObqKhuhymH3,63,1,62.0,1,63.0,51.0,1,162.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,00fiXwcWv6WH27m5CzlZhMmJj4r1,90,0,89.0,1,90.0,61.0,1,167.0,2.0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01HG47fhPxXGB1IH9TwqCcbuAGv1,25,1,24.0,1,25.0,66.0,1,164.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01IkDUDtagPFULtB05C9q4TLeAh2,216,0,215.0,1,216.0,69.0,1,159.0,1.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,01PH4mMfTReLSovBbVPClTbKQZE3,99,1,7.0,4,24.75,57.0,1,159.0,1.0,1,1,1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
5,01RWB5MfkGXVEf6JQiUcG38KAwg1,52,1,51.0,1,52.0,61.0,1,160.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,01YdPSW9nrd6z2BcLvSksN8i4Rq1,69,1,5.0,2,34.5,60.0,1,152.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01dzuvQGmjZnNdXz6FdtJKXmUk62,18,1,17.0,1,18.0,74.0,0,169.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,01iucqbS7TeUP76hZqmAKx1jIHg1,199,0,198.0,1,199.0,66.0,1,176.0,1.0,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0200jXVkonhhOjxnB6vEPwCAoyV2,163,0,23.0,3,54.333333333333336,61.0,1,176.0,2.0,2,2,2,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,0264k6OG0vW5eEDvJX1II4Bgbxl1,73,1,72.0,1,73.0,50.0,1,165.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
