,user_id,total_events,Baja_usuario,events_last_month,total_months,rate_events,age,gender,height,seniors_exercise_level,traits_language_code,os_name,device_type
0,00VjxBSh5SWZtvDuQObqKhuhymH3,63,1,62.0,1,63.0,51.0,1,162.0,1.0,1,1,1
63,00fiXwcWv6WH27m5CzlZhMmJj4r1,90,0,89.0,1,90.0,61.0,1,167.0,2.0,1,3,2
153,01HG47fhPxXGB1IH9TwqCcbuAGv1,25,1,24.0,1,25.0,66.0,1,164.0,1.0,1,1,1
178,01IkDUDtagPFULtB05C9q4TLeAh2,216,0,215.0,1,216.0,69.0,1,159.0,1.0,1,2,2
394,01PH4mMfTReLSovBbVPClTbKQZE3,99,1,7.0,4,24.75,57.0,1,159.0,1.0,1,1,1
493,01RWB5MfkGXVEf6JQiUcG38KAwg1,52,1,51.0,1,52.0,61.0,1,160.0,1.0,1,1,1
545,01YdPSW9nrd6z2BcLvSksN8i4Rq1,69,1,5.0,2,34.5,60.0,1,152.0,1.0,1,1,1
614,01dzuvQGmjZnNdXz6FdtJKXmUk62,18,1,17.0,1,18.0,74.0,0,169.0,1.0,1,1,1
632,01iucqbS7TeUP76hZqmAKx1jIHg1,199,0,198.0,1,199.0,66.0,1,176.0,1.0,2,2,2
831,0200jXVkonhhOjxnB6vEPwCAoyV2,163,0,23.0,3,54.333333333333336,61.0,1,176.0,2.0,2,2,2
994,0264k6OG0vW5eEDvJX1II4Bgbxl1,73,1,72.0,1,73.0,50.0,1,165.0,1.0,1,1,1
1067,02AFjTAuNGOrWbLXGDp3xrBkA1v1,129,1,128.0,1,129.0,61.0,1,162.0,2.0,1,3,2
1196,02EwSnloHTZMAStpcmHiulKy8np2,158,1,157.0,1,158.0,65.0,1,154.0,2.0,1,2,2
1354,02j8jTw7wYQYwokse0cwAC6QxVx2,4,1,3.0,1,4.0,59.0,0,171.0,3.0,1,1,1
1358,02uqm7B7HPTtLHdRH6HS2sCkuUS2,31,1,30.0,1,31.0,78.0,1,173.0,1.0,1,1,1
1389,02vU3xuRa9bW0dibvaziGlOZ9Fm2,28,1,27.0,1,28.0,61.0,1,158.0,1.0,1,1,1
1417,03GzGEPkN0hyf8qiC3ntUquwIBE3,163,1,28.0,2,81.5,70.0,0,178.0,2.0,1,2,2
1580,03wyGWcKmKNramJQKFT3JLB1T1n2,45,1,44.0,1,45.0,59.0,1,169.0,1.0,1,1,1
1625,041KPUZb82S8LiAmRHZRQ43oAis1,359,1,358.0,1,359.0,67.0,1,151.0,2.0,1,1,1
1984,04411yjzMGe0eKlmhl4ENYjqlBq1,123,1,122.0,1,123.0,59.0,1,159.0,2.0,1,2,2
2107,04BaBnnvlNV1CciWCU2vtqWSLDG2,69,1,68.0,1,69.0,68.0,1,168.0,1.0,1,1,1
2176,04em0eCOOYXFLjJOIsuZUAfKn9p1,114,0,113.0,1,114.0,68.0,1,166.0,3.0,1,1,1
2290,052YJ12gQycIkf3thn7jfi311lh1,67,1,66.0,1,67.0,52.0,1,152.0,3.0,1,1,1
2357,05P3Gu6melMXFrGeBBVloTfZ9rm2,172,0,171.0,1,172.0,62.0,1,170.0,2.0,1,2,2
2529,05WNyePvItOMkg5T76U1PPjb18w2,150,1,149.0,1,150.0,51.0,1,164.0,3.0,1,2,2
2679,05fuK1lvc0Z6p4xpmBq5NfQrfAT2,108,1,107.0,1,108.0,60.0,1,164.0,2.0,1,1,1
2787,05gZdWRUQDRJtJrbKWhFn3cFDVo1,69,1,68.0,1,69.0,50.0,1,160.0,1.0,1,1,1
2856,05s1JLcMidVSF5glL6kgbKoo1h12,26,1,25.0,1,26.0,51.0,1,163.0,1.0,1,1,1
2882,05th3s4xQ9bSK1QIfCkMG7eaGpm1,29,1,28.0,1,29.0,80.0,1,167.0,1.0,1,1,1
2911,06IO4gYPF2TJNHUyBrB5Ug7xF542,28,1,27.0,1,28.0,64.0,1,169.0,1.0,2,1,1
2939,071fPYIZePPbV9VCpaQKnUJ4Onp2,53,1,52.0,1,53.0,55.0,1,166.0,1.0,1,1,1
2992,07OASfiYjdePYwGcFgv065Mv3kb2,166,0,165.0,1,166.0,67.0,1,170.0,1.0,1,2,2
3158,07Z8oiNgPWTe4VqObZ4FhF5VJK03,36,1,35.0,1,36.0,51.0,1,165.0,3.0,1,1,1
3194,07kCDttifNVxSurzPURkM77uu9c2,27,1,26.0,1,27.0,65.0,1,167.0,1.0,1,1,1
3221,07tHMKF2R4dfwumEgHUxBzOL9B92,73,1,19.0,4,18.25,50.0,1,155.0,1.0,1,1,1
3294,0830U4STBfPDth7nN2UjxOXU6682,31,1,30.0,1,31.0,61.0,1,160.0,1.0,1,1,1
3325,0842vPuyB8ULgSFKmsgqTYcqDDJ2,30,1,29.0,1,30.0,57.0,1,155.0,1.0,1,1,1
3355,087tlDQzvbhmlx3bhGcvgxMM1Wh1,83,1,82.0,1,83.0,52.0,1,162.0,1.0,1,1,1
3438,08MbWfwzAWbiKxNC5xonFJI1TKP2,2897,0,2896.0,1,2897.0,66.0,0,175.0,2.0,1,2,2
6335,08NKcKhGSHWecHatDzaOH52OQ5R2,101,1,100.0,1,101.0,63.0,1,162.0,2.0,1,1,1
6436,08afHUwN0JYL8cGSdWeoEcQ8J2J2,26,1,25.0,1,26.0,51.0,1,160.0,1.0,1,1,1
6462,08dVhRucbRRfwpAmO3ubMvAU9fh1,40,1,39.0,1,40.0,54.0,1,170.0,1.0,1,1,1
6502,0A0AUnmANWaA4caxKF23cAgEJs52,142,1,141.0,1,142.0,73.0,1,159.0,3.0,1,1,1
6644,0A6Ikh25LJTFHQ25YVfQ3uM91CG2,18,1,17.0,1,18.0,61.0,1,171.0,2.0,1,1,1
6662,0A7W1OgLomQSpeEVHOe4azISXLU2,131,1,130.0,1,131.0,75.0,1,168.0,2.0,1,1,1
6793,0AEUeWLYKBebWYEhQBhIC5kX9Qh1,92,1,91.0,1,92.0,64.0,1,159.0,2.0,1,1,1
6885,0AGvcvbJdAe450az7dtIdoPHXno2,29,1,28.0,1,29.0,55.0,1,161.0,1.0,1,1,1
6914,0ArpZciIU0Mp0ppO3lhzn0f9S1H2,118,1,117.0,1,118.0,60.0,1,172.0,2.0,1,1,1
7032,0B2ITyLEp9NyAkIfsCz90exCaRL2,27,1,26.0,1,27.0,55.0,1,164.0,3.0,1,1,1
7059,0BHPaYKVl6ZwEsOB8TitHhRPjX52,194,0,193.0,1,194.0,65.0,1,157.0,2.0,1,2,2
7253,0BOXEi7wIPVwN6I4SAusOmQxFum2,55,1,54.0,1,55.0,60.0,1,155.0,2.0,1,2,2
7308,0BRE27rVRkMXwn1dEjuSXptjom92,27,1,26.0,1,27.0,64.0,1,167.0,1.0,1,2,2
7335,0BXgvrS8TAcqIx5J3RS3DXipm513,181,1,110.0,3,60.333333333333336,57.0,0,173.0,1.0,1,1,1
7516,0BuVirtTmHNwfifOCyV9hNPir0p1,28,1,27.0,1,28.0,61.0,1,159.0,1.0,1,1,1
7544,0CEDnEmph6QkSnxp6GiaTCwU5e83,206,0,50.0,6,34.333333333333336,53.0,1,158.0,1.0,1,2,2
7750,0CMKPDjySYh5dMeGZaqA8fRUWLK2,35,1,34.0,1,35.0,78.0,1,165.0,1.0,1,1,1
7785,0CYLZfIUZJZfEpbdu1ye2ukbPXH3,91,1,90.0,1,91.0,60.0,1,170.0,2.0,1,1,1
7876,0CcUQ4g54KT11nwDOJP7Gl2kPSI2,62,1,19.0,3,20.666666666666668,61.0,0,172.0,2.0,1,1,1
7938,0CdgEJpC8leokqcJwUNBO1Xl2wg1,27,1,26.0,1,27.0,78.0,1,163.0,1.0,1,1,1
7965,0CpsKiTrSbW7T6RD2LDF1E1URSw1,97,1,96.0,1,97.0,60.0,0,170.0,1.0,1,1,1
8062,0CqnKLPLmyWiO1Sftht8WgMq2ok1,920,0,919.0,1,920.0,75.0,0,172.0,2.0,1,2,2
8982,0DEpzxqpShWQDqMEDZtAUgwc9ne2,110,1,109.0,1,110.0,65.0,1,164.0,1.0,1,1,1
9092,0DuUy4jJkjf9iprI4cqi1KoixYv1,110,0,6.0,2,55.0,60.0,1,162.0,3.0,1,2,2
9202,0EZufeRkXmUCpMViVa5ueQGxIN03,100,1,99.0,1,100.0,68.0,1,162.0,2.0,1,2,2
9302,0EqSU18VxIYmiDqfCsLFyGShISW2,90,1,89.0,1,90.0,64.0,1,163.0,2.0,1,1,1
9392,0EsfsOwoejMqkev2PGSPrnzQ55Y2,50,1,9.0,4,12.5,54.0,1,158.0,1.0,1,1,1
9442,0ExAHCz0GqOhmNfbiD20JIX1F283,52,1,51.0,1,52.0,57.0,1,165.0,1.0,1,1,1
9494,0FXO2YGYh2gzS7NtwnBoD37QJTg2,137,1,136.0,1,137.0,61.0,1,163.0,2.0,1,2,2
9631,0FfwUhabVafHHpBq4ZJcUrhnXx72,28,1,27.0,1,28.0,66.0,1,157.0,1.0,1,1,1
9659,0FuLxf53kqMYEF6x3saPCpu00tx1,34,1,33.0,1,34.0,52.0,1,155.0,1.0,1,1,1
9693,0FvL6AEzpPYL60iV6b7GMV9J4RX2,115,0,114.0,1,115.0,61.0,1,172.0,2.0,1,2,2
9808,0G3Orz4HztVhbcLPk7ZnVTTsWt13,76,1,75.0,1,76.0,66.0,1,170.0,2.0,2,2,2
9884,0G4XPMxWqjW3tzqRveV9Hh1XBYy2,94,1,93.0,1,94.0,62.0,1,167.0,3.0,1,1,1
9978,0G8wcyQ8kPgbG91kDbiWdxdzM7S2,30,1,29.0,1,30.0,62.0,1,171.0,1.0,1,2,2
10008,0GAZmLOVliWjSyf9xtuWYBPWmlu1,159,0,158.0,1,159.0,63.0,1,163.0,1.0,1,3,2
10167,0GBGExfX2jc8nwKWNPGNAXnGIPj2,55,1,54.0,1,55.0,67.0,1,159.0,1.0,1,1,1
10222,0GQ51kcIQMeG8ODcvuODDasrIBv2,26,1,25.0,1,26.0,54.0,1,168.0,1.0,1,1,1
10248,0GS1talcbARgbItDmsvjCbuNvjD2,113,1,112.0,1,113.0,66.0,1,149.0,2.0,1,1,1
10361,0GSPzFY7QONFfFh1CiSChHt7p1y1,122,1,121.0,1,122.0,63.0,1,173.0,2.0,1,2,2
10483,0GtlB34jG4PrNvdVHSwesSM3jq22,131,1,122.0,2,65.5,63.0,1,164.0,1.0,1,2,2
10614,0H3uMrtlRaPJttQJBCsI92dRlkg2,401,0,23.0,2,200.5,68.0,0,172.0,1.0,1,2,2
11015,0HEy9v2U91MpCLz0M5igOIsxHPk2,110,1,109.0,1,110.0,60.0,1,145.0,2.0,1,2,2
11125,0I6dFefws0aR2QCKyuk01cF69IZ2,35,1,34.0,1,35.0,59.0,1,170.0,1.0,1,1,1
11160,0IEnrP2YSYWtxiH75z7W28KXv8Z2,138,0,137.0,1,138.0,60.0,0,176.0,2.0,1,2,2
11298,0IIXfCYwDfUKBr3JyxmgBSYQ7If2,165,0,164.0,1,165.0,62.0,1,124.0,2.0,2,1,1
